index,Company,TypeName,inches,resolution_width,resolution_height,touchscreen,cpu_name,cpu_brand,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,OpSys,Weight,Price
0,Apple,Ultrabook,13.30,2560,1600,0,"Core i5",Intel,2.30,8,SSD,128,0,Intel,macos,1.37,71378.6832
1,Apple,Ultrabook,13.30,1440,900,0,"Core i5",Intel,1.80,8,"Flash Storage",128,0,Intel,macos,1.34,47895.5232
2,HP,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Intel,N/A,1.86,30636
3,Apple,Ultrabook,15.40,2880,1800,0,"Core i7",Intel,2.70,16,SSD,512,0,AMD,macos,1.83,135195.336
4,Apple,Ultrabook,13.30,2560,1600,0,"Core i5",Intel,3.10,8,SSD,256,0,Intel,macos,1.37,96095.808
5,Acer,Notebook,15.60,1366,768,0,"A9-Series 9420",AMD,3.00,4,HDD,500,0,AMD,windows,2.1,21312
6,Apple,Ultrabook,15.40,2880,1800,0,"Core i7",Intel,2.20,16,"Flash Storage",256,0,Intel,macos,2.04,114017.6016
7,Apple,Ultrabook,13.30,1440,900,0,"Core i5",Intel,1.80,8,"Flash Storage",256,0,Intel,macos,1.34,61735.536
8,Asus,Ultrabook,14.00,1920,1080,0,"Core i7",Intel,1.80,16,SSD,512,0,Nvidia,windows,1.3,79653.6
9,Acer,Ultrabook,14.00,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.6,41025.6
10,HP,Notebook,15.60,1366,768,0,"Core i5",Intel,2.50,4,HDD,500,0,Intel,N/A,1.86,20986.992
11,HP,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,HDD,500,0,Intel,N/A,1.86,18381.0672
12,Apple,Ultrabook,15.40,2880,1800,0,"Core i7",Intel,2.80,16,SSD,256,0,AMD,macos,1.83,130001.6016
13,Dell,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,SSD,256,0,AMD,windows,2.2,26581.392
14,Apple,Ultrabook,12.00,2304,1440,0,"Core M",Intel,1.20,8,SSD,256,0,Intel,macos,0.92,67260.672
15,Apple,Ultrabook,13.30,2560,1600,0,"Core i5",Intel,2.30,8,SSD,256,0,Intel,macos,1.37,80908.344
16,Dell,Notebook,15.60,1920,1080,0,"Core i7",Intel,2.70,8,SSD,256,0,AMD,windows,2.2,39693.6
17,Apple,Ultrabook,15.40,2880,1800,0,"Core i7",Intel,2.90,16,SSD,512,0,AMD,macos,1.83,152274.24
18,Lenovo,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.40,8,HDD,1024,0,Nvidia,N/A,2.2,26586.72
19,Dell,Ultrabook,13.30,1920,1080,1,"Core i5",Intel,1.60,8,SSD,128,0,Intel,windows,1.22,52161.12
21,Lenovo,Gaming,15.60,1920,1080,0,"Core i5",Intel,2.50,8,Hybrid,128,1024,Nvidia,windows,2.5,53226.72
22,HP,Notebook,15.60,1366,768,0,"E-Series E2-9000e",AMD,1.50,4,HDD,500,0,AMD,N/A,1.86,13746.24
23,Dell,"2 in 1 Convertible",13.30,1920,1080,1,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.62,43636.32
24,HP,Ultrabook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Intel,windows,1.91,35111.52
25,Dell,Notebook,15.60,1366,768,0,"Core i3",Intel,2.00,4,HDD,1024,0,Intel,windows,2.3,22305.1392
26,Apple,Ultrabook,13.30,1440,900,0,"Core i5",Intel,1.60,8,"Flash Storage",128,0,Intel,macos,1.35,58554.72
27,Dell,Notebook,15.60,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,AMD,windows,2.2,42624
28,Dell,Ultrabook,15.60,1920,1080,0,"Core i7",Intel,1.90,8,SSD,256,256,Intel,windows,1.88,69157.44
29,HP,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,8,HDD,1024,0,Nvidia,windows,2.5,47738.88
30,Chuwi,Notebook,15.60,1920,1080,0,"Atom x5-Z8300",Intel,1.44,4,"Flash Storage",64,0,Intel,windows,1.89,13053.0672
31,Asus,Notebook,14.00,1366,768,0,"E-Series E2-6110",AMD,1.50,2,"Flash Storage",32,0,AMD,windows,1.65,10602.72
32,HP,Notebook,17.30,1920,1080,0,"A6-Series 9220",AMD,2.50,4,HDD,500,0,AMD,windows,2.71,23389.92
33,Dell,Ultrabook,13.30,3200,1800,1,"Core i7",Intel,1.80,16,SSD,512,0,Intel,windows,1.2,99580.32
34,Apple,Ultrabook,13.30,1440,900,0,"Core i5",Intel,1.60,8,"Flash Storage",256,0,Intel,macos,1.35,53173.44
35,Lenovo,Notebook,14.00,1366,768,0,"Celeron Dual",Intel,1.10,4,"Flash Storage",64,0,Intel,windows,1.44,13266.72
36,Acer,Notebook,15.60,1366,768,0,"Core i3",Intel,2.70,4,HDD,1024,0,Intel,linux,2.1,19553.76
37,Dell,Notebook,17.30,1920,1080,0,"Core i5",Intel,1.60,8,Hybrid,128,1024,AMD,windows,2.8,52161.12
38,HP,Notebook,15.60,1366,768,0,"Core i5",Intel,2.50,4,HDD,1024,0,Intel,windows,1.86,26037.4032
39,HP,Notebook,15.60,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Nvidia,windows,2.1,46833.12
40,Asus,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,HDD,1024,0,Intel,linux,2,20725.92
41,Dell,Gaming,15.60,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,1024,Nvidia,windows,2.65,79866.72
42,Asus,Notebook,15.60,1366,768,0,"Core i5",Intel,2.50,8,HDD,1024,0,Nvidia,linux,2.3,27864.9072
43,Acer,Notebook,15.60,1920,1080,0,"Core i5",Intel,1.60,4,SSD,256,0,Intel,windows,2.2,36336.96
44,Dell,"2 in 1 Convertible",17.30,1920,1080,1,"Core i5",Intel,1.60,12,HDD,1024,0,Nvidia,windows,2.77,53226.72
45,Apple,Ultrabook,13.30,2560,1600,0,"Core i5",Intel,2.00,8,SSD,256,0,Intel,macos,1.37,75604.32
47,Asus,Gaming,17.30,1920,1080,0,"Ryzen 1700",AMD,3.00,8,Hybrid,256,1024,AMD,windows,3.2,69210.72
48,Dell,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,4,SSD,256,0,AMD,windows,2.3,34045.92
49,Asus,Notebook,17.30,1366,768,0,"Pentium Quad",Intel,1.10,4,HDD,1024,0,Nvidia,windows,2.8,24828.48
51,Acer,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,Nvidia,windows,2.2,44808.48
52,HP,Notebook,15.60,1920,1080,0,"A6-Series 9220",AMD,2.50,4,SSD,256,0,AMD,windows,1.86,21231.5472
53,HP,Notebook,13.30,1920,1080,0,"Core i7",Intel,1.80,8,SSD,512,0,Intel,windows,1.49,58767.84
54,Acer,Notebook,15.60,1366,768,0,"Core i3",Intel,2.40,4,HDD,1024,0,Intel,windows,2.4,20459.52
55,Dell,Notebook,15.60,1920,1080,0,"Core i7",Intel,1.80,8,SSD,256,0,AMD,windows,2.13,40908.384
56,HP,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,SSD,128,0,Intel,windows,1.91,23389.92
57,Asus,Notebook,15.60,1366,768,0,"Core i5",Intel,2.50,4,SSD,256,0,Intel,windows,2,31232.2032
58,MSI,Gaming,17.30,1920,1080,0,"Core i7",Intel,2.80,16,Hybrid,256,2048,Nvidia,windows,2.43,130482.72
59,Asus,Notebook,15.60,1920,1080,0,"Core i3",Intel,2.00,4,SSD,256,0,Intel,linux,2,22111.2
60,Dell,Notebook,17.30,1920,1080,0,"Core i7",Intel,1.80,16,Hybrid,256,2048,AMD,windows,2.8,69210.72
61,Dell,Ultrabook,14.00,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.7,46833.12
62,Lenovo,Notebook,14.00,1920,1080,0,"Core i3",Intel,2.70,8,SSD,256,0,Intel,N/A,1.7,31914.72
63,Asus,Notebook,14.00,1920,1080,0,"Core i5",Intel,1.60,8,SSD,256,0,Intel,windows,1.4,50136.48
64,HP,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,8,SSD,256,0,Intel,windows,1.86,36763.2
65,Asus,Ultrabook,15.60,1920,1080,0,"Core i7",Intel,2.80,16,SSD,512,0,Nvidia,windows,1.8,105654.24
66,HP,Notebook,15.60,1366,768,0,"Core i3",Intel,2.00,4,HDD,500,0,AMD,windows,1.86,23373.4032
67,HP,Notebook,14.00,1366,768,0,"Celeron Dual",Intel,1.60,4,SSD,32,0,Intel,windows,1.44,12201.12
68,Lenovo,Notebook,15.60,1920,1080,0,"Core i5",Intel,2.50,4,HDD,1024,0,Intel,windows,1.9,29250.72
69,Asus,Gaming,17.30,1920,1080,0,"Core i7",Intel,2.80,12,HDD,1024,0,Nvidia,linux,3,50562.72
